Location,Species,Month,Year,Mean_density,IRS,IRS_year,IRS_month,Note
Kisumu,gambiae,10,2018,0.779605263,F,,,
Kisumu,gambiae,11,2018,1.591008772,F,,,
Kisumu,gambiae,12,2018,1.403508772,F,,,
Kisumu,gambiae,1,2019,1.839912281,F,,,
Kisumu,gambiae,2,2019,1.839912281,F,,,
Kisumu,gambiae,3,2019,0.966008772,F,,,
Kisumu,gambiae,4,2019,1.028508772,F,,,
Kisumu,gambiae,5,2019,0.839912281,F,,,
Kisumu,gambiae,6,2019,2.716008772,F,,,
Kisumu,gambiae,7,2019,1.713815789,F,,,
Kisumu,gambiae,8,2019,0.902412281,F,,,
Kisumu,gambiae,9,2019,2.464912281,F,,,
Busia,gambiae,10,2018,1.654605263,F,,,
Busia,gambiae,11,2018,0.591008772,F,,,
Busia,gambiae,12,2018,0.778508772,F,,,
Busia,gambiae,1,2019,0.152412281,F,,,
Busia,gambiae,2,2019,0.339912281,F,,,
Busia,gambiae,3,2019,1.153508772,F,,,
Busia,gambiae,4,2019,0.466008772,F,,,
Busia,gambiae,5,2019,0.526315789,F,,,
Busia,gambiae,6,2019,7.466008772,F,,,
Busia,gambiae,7,2019,1.620065789,F,,,
Busia,gambiae,8,2019,0.839912281,F,,,
Busia,gambiae,9,2019,1.464912281,F,,,
Bungoma,gambiae,10,2018,0.279605263,F,,,
Bungoma,gambiae,11,2018,0.716008772,F,,,
Bungoma,gambiae,12,2018,0.403508772,F,,,
Bungoma,gambiae,1,2019,1.464912281,F,,,
Bungoma,gambiae,2,2019,0.339912281,F,,,
Bungoma,gambiae,3,2019,2.153508772,F,,,
Bungoma,gambiae,4,2019,5.966008772,F,,,
Bungoma,gambiae,5,2019,10.08991228,F,,,
Bungoma,gambiae,6,2019,17.77741228,F,,,
Bungoma,gambiae,7,2019,4.402412281,F,,,
Bungoma,gambiae,8,2019,1.716008772,F,,,
Bungoma,gambiae,9,2019,2.089912281,F,,,
Siaya,gambiae,10,2018,0.279605263,F,,,
Siaya,gambiae,11,2018,0.403508772,F,,,
Siaya,gambiae,12,2018,0.716008772,F,,,
Siaya,gambiae,1,2019,0.653508772,F,,,
Siaya,gambiae,2,2019,0.902412281,F,,,
Siaya,gambiae,3,2019,3.028508772,F,,,
Siaya,gambiae,4,2019,1.527412281,F,,,
Siaya,gambiae,5,2019,2.216008772,F,,,
Siaya,gambiae,6,2019,1.777412281,F,,,
Siaya,gambiae,7,2019,1.591008772,F,,,
Siaya,gambiae,8,2019,1.589912281,F,,,
Siaya,gambiae,9,2019,0.838815789,F,,,
Homabay,gambiae,10,2018,0.092105263,T,2018,3,
Homabay,gambiae,11,2018,0.216008772,T,2018,3,
Homabay,gambiae,12,2018,0.216008772,T,2018,3,
Homabay,gambiae,1,2019,0.528508772,T,2018,3,
Homabay,gambiae,2,2019,0.277412281,T,2018,3,
Homabay,gambiae,3,2019,0.902412281,T,2019,3,
Homabay,gambiae,4,2019,0.528508772,T,2019,3,
Homabay,gambiae,5,2019,0.777412281,T,2019,3,
Homabay,gambiae,6,2019,0.839912281,T,2019,3,
Homabay,gambiae,7,2019,0.902412281,T,2019,3,
Homabay,gambiae,8,2019,0.776315789,T,2019,3,
Homabay,gambiae,9,2019,1.151315789,T,2019,3,
Migori,gambiae,10,2018,0.028508772,T,2018,3,
Migori,gambiae,11,2018,0.028508772,T,2018,3,
Migori,gambiae,12,2018,0.214912281,T,2018,3,
